the	το
and	και
was	ήταν
for	για
for	for
that	αυτό
that	ότι
that	that
with	με
from	απο
from	από
this	αυτο
this	αυτό
utc	utc
not	όχι
not	οχι
talk	μιλήσω
talk	μιλήστε
talk	μίλα
which	που
also	επισης
also	επίσης
has	έχει
but	αλλά
but	αλλα
but	μα
one	ένας
one	ενα
one	μία
one	ένα
one	μια
new	νεα
new	νέο
new	νέα
new	νέος
first	πρώτο
first	πρώτον
first	πρώτη
first	πρώτα
first	πρώτος
page	σελίδα
page	page
page	σελιδα
you	εσύ
you	εσείς
you	εσυ
they	αυτοί
had	είχε
article	αρθρο
article	άρθρο
who	ποιος
all	ολα
all	όλοι
all	όλες
all	όλα
there	εκει
there	εκεί
made	φτιαγμένο
made	φτιαγμένα
made	φτιαγμένη
made	έκανε
its	its
people	ατομα
people	ανθρωποι
people	άνθρωποι
people	κόσμος
people	άτομα
people	ανθρώπους
may	μάη
may	μάιος
may	μέι
may	μάης
after	μετα
after	μετά
other	λοιπά
other	αλλα
other	άλλες
other	άλλα
two	δυο
two	two
two	δύο
score	βαθμολογία
score	σκορ
can	can
can	μπορεί
more	περισσότερο
more	περισσότεροι
more	πιο
more	περισσότερες
more	περισσότερα
she	αυτή
she	εκείνη
about	περίπου
when	πότε
when	όταν
when	οταν
time	χρόνος
time	χρονος
time	ώρα
time	φορά
time	ωρα
time	χρόνο
team	ομαδα
team	ομάδα
american	αμερικανική
american	αμερικάνικα
american	αμερικανός
american	αμερικάνος
american	αμερικάνικο
american	αμερικανοί
such	τέτοια
discussion	συζητηση
discussion	συζήτηση
links	σύνδεσμοι
links	δεσμοί
links	συνδέσεις
links	συνδέσμους
only	μόνον
only	μόνο
only	μονο
some	μερικές
some	κάποια
some	κάποιοι
some	μερικοί
some	μερικά
see	δείτε
see	βλέπεις
see	βλέπε
see	δειτε
united	united
united	ενωμένη
united	ενωμένοι
united	ηνωμένο
years	χρονια
years	ετη
years	χρόνια
years	έτη
school	σχολείο
school	σχολη
school	σχολειο
school	σχολή
world	world
world	κόσμο
world	κόσμος
university	πανεπιστήμιο
university	university
university	πανεπιστημιο
out	έξω
out	out
out	εξω
state	κράτος
state	πολιτεία
state	state
states	πολιτείες
states	κρατών
states	κράτη
national	εθνικός
national	εθνικό
national	εθνικη
national	εθνική
wikipedia	wikipedia
year	ετος
year	έτος
year	χρονιά
year	έτο
city	πολη
city	πόλη
city	city
over	over
used	χρησιμοποιήθηκε
used	χρησιμοποιείται
used	χρησιμοποιούνται
used	χρησιμοποιούμενα
used	χρησιμοποιούμενες
then	τότε
then	μετά
county	νομό
county	κομητεία
external	εξωτερική
external	εξωτερικά
external	εξωτερικό
external	εξωτερικός
where	όπου
where	πού
will	γουίλ
will	will
will	θα
what	τι
delete	διαγραφή
any	οποιαδήποτε
these	αυτά
these	αυτές
these	οἱ
these	αυτα
january	ιανουαρίου
january	ιανουάριο
january	ιανουάριος
march	μαρτίου
march	μάρτιος
march	μάρτιο
august	αύγουστος
august	αύγουστο
august	αυγούστου
july	ιούλιος
july	ιούλιο
july	ιουλίου
july	ιουλιος
film	μεμβράνη
film	ταινία
film	ταινια
film	φιλμ
him	αυτόν
many	πολλά
many	πολλοι
many	πολλοί
many	πολλές
many	πολλα
south	νότιο
south	νοτια
south	νότια
south	νότος
september	σεπτεμβρίου
september	σεπτέμβρη
september	σεπτέμβριος
september	σεπτέμβριο
like	όπως
like	οπως
like	like
like	σαν
between	ανάμεσα
between	μεταξύ
between	μεταξυ
october	οκτώβριος
october	οκτώβριο
october	οκτωβρίου
three	τρεις
three	three
three	τρία
three	τρια
june	ιούνιο
june	ιουνίου
june	τζουν
june	ιούνιος
well	λοιπόν
use	χρήση
use	χρησιμοποίηση
war	πόλεμος
war	πόλεμο
under	υπό
them	τους
april	απρίλιος
april	απρίλιο
april	απρίλη
april	απριλίου
april	έιπριλ
born	γεννήθηκα
born	γεννημένος
born	γεννήθηκε
born	γεννηθείς
december	δεκέμβριο
december	δεκέμβριος
december	δεκεμβρίου
link	σύνδεσμο
link	σύνδεσμος
link	λινκ
link	δεσμός
link	link
link	σύνδεση
while	ενώ
while	ενω
later	αργότερα
later	αργοτερα
part	μέρος
part	μεροσ
november	νοεμβρίου
november	νοέμβριο
november	νοέμβριος
further	περαιτέρω
players	παίκτες
players	παίχτες
list	λίστα
list	κατάλογος
please	παρακαλώ
following	ακολουθώντας
following	ακολουθεί
following	ακόλουθες
february	φεβρουάριος
february	φεβρουάριο
february	φεβρουαρίου
known	γνωστή
known	γνωστός
known	γνωστό
known	γνωστοί
known	γνωστές
second	δεύτερο
second	δεύτερος
second	δεύτερη
name	ονομασία
name	όνομα
name	ονομα
group	όμιλος
group	ομαδα
group	group
group	ομάδα
history	ιστορία
history	ιστορια
history	ιστορικό
series	σειρές
series	σειρά
series	σειρα
just	απλα
just	απλά
just	απλώς
north	βορρά
north	βορεια
north	βόρεια
north	βορράς
work	έργο
work	δουλειά
work	εργασίες
work	εργασία
work	δουλεια
before	πρίν
before	πριν
season	εποχή
season	σαιζόν
season	σεζον
season	σεζόν
high	high
high	ψηλά
high	υψηλή
high	υψηλός
high	υψηλό
through	μεσω
through	μέσω
district	περιφέρεια
now	τώρα
now	τωρα
comments	σχολια
comments	σχόλια
comments	παρατηρήσεις
because	επειδή
because	γιατί
football	φούτμπολ
football	football
football	ποδόσφαιρο
music	μουσικη
music	μουσική
however	ωστόσο
however	εντούτοις
diff	diff
century	αιώνα
century	αιώνας
league	league
league	πρωτάθλημα
league	λιγκ
edits	διορθώσεις
debate	συζήτηση
debate	ντιμπέιτ
title	τίτλος
articles	άρθρα
articles	τεχνουργήματα
articles	αρθρα
john	τζων
john	τζον
john	john
john	ιωάννης
same	ιδια
same	ίδια
same	ίδιο
same	ίδιοι
including	συμπεριλαμβανομένου
including	συμπεριλαμβανομένης
including	συμπεριλαμβανομένων
english	greek
english	αγγλικα
english	αγγλική
english	αγγλικό
english	αγγλικά
album	δίσκος
album	άλμπουμ
number	αριθμός
number	νούμερο
against	ενάντια
against	κόντρα
against	εναντίον
family	οικογενεια
family	οικογένεια
user	χρήστη
user	χρήστης
based	βασισμένο
based	βασισμένη
area	έκταση
area	εμβαδόν
area	περιοχή
area	περιοχη
york	γιορκ
york	υόρκη
york	york
life	life
life	ζωή
life	ζωη
british	βρετανικό
british	βρετανός
british	βρετανική
british	βρετανοί
british	βρετανικά
international	international
international	διεθνείς
international	διεθνής
international	διεθνή
international	διεθνές
game	παιχνίδι
game	game
game	παιχνιδι
above	ανωτέρω
above	παραπάνω
club	club
club	κλάμπ
club	λέσχη
club	κλαμπ
until	μεχρι
until	μέχρι
until	έως
early	νωρίς
early	πρόωρη
best	καλύτερα
best	καλύτερο
best	best
west	δυτικά
west	δυτική
west	γουέστ
west	δύση
house	χάουζ
house	house
house	σπιτι
house	σπίτι
company	λόχος
company	εταιρεία
company	εταιρία
general	στρατηγός
general	γενική
general	γενικές
general	γενικά
general	γενικό
left	αριστερά
left	αριστερό
left	αριστερή
left	αριστερα
very	πολυ
very	πολύ
here	εδω
here	εδώ
don	ντον
don	don
don	ντόν
don	δον
living	ζώντας
day	μερα
day	ημερα
day	ημέρα
day	μέρα
several	αρκετές
several	αρκετοί
place	τόπος
place	μέρος
party	πάρτυ
party	κόμμα
party	πάρτι
party	party
college	κολλέγιο
college	college
college	κολέγιο
result	αποτέλεσμα
result	αποτελεσμα
keep	κρατήστε
keep	κράτα
appropriate	ενδεδειγμένη
appropriate	κατάλληλο
appropriate	κατάλληλη
appropriate	κατάλληλα
four	τέσσερις
four	τέσσερα
four	four
four	τεσσερα
class	τάξη
class	κλάση
class	μάθημα
government	κυβερνηση
government	κυβέρνηση
how	πως
how	πώς
called	ονομάζεται
did	έκανε
each	έκαστος
each	κάθε
found	βρέθηκαν
found	βρεθηκε
found	βρήκα
found	βρήκε
found	βρέθηκε
center	κέντρο
center	κεντρο
center	center
per	ανά
per	per
per	περ
style	στυλ
style	ύφος
style	στιλ
com	com
long	μακρύς
long	μακρύ
long	λονγκ
long	long
country	χωρα
country	χώρα
back	πλάτη
back	πισω
back	πίσω
way	τρόπος
way	τροπος
way	way
www	www
modify	τροποποίηση
end	τέλος
end	λήξη
public	δημόσιες
public	δημόσια
public	δημόσιος
played	έπαιζε
played	έπαιζα
played	έπαιξε
played	παίχτηκε
played	έπαιξα
won	κέρδισα
won	γουόν
won	κέρδισε
released	κυκλοφόρησε
released	απελευθερώνεται
added	πρόσθεσε
added	προστέθηκε
added	προστέθηκαν
added	προστίθεται
support	στήριξη
support	υποστήριξη
games	παιχνίδια
games	αγωνες
games	αγώνες
games	games
former	πρώην
former	πρωην
films	ταινίες
church	τσερτς
church	εκκλησία
church	εκκλησια
east	ανατολή
east	ανατολική
east	ανατολικά
east	ανατολικό
east	ιστ
line	γραμμή
line	line
line	γραμμη
major	ταγματάρχης
major	ταγματάρχη
members	έλη
members	μέλη
members	μελη
good	καλή
good	καλο
good	καλό
good	καλά
good	καλα
image	εικόνα
image	εικονα
show	εμφάνιση
show	show
show	δείξω
show	παράσταση
still	ακόμη
still	ακομα
still	ακόμα
think	σκέψου
think	σκεφτείτε
below	κατωτέρω
below	κάτω
below	παρακάτω
below	κατω
town	town
town	πολη
town	πόλη
last	τελευταίο
last	τελευταίοι
last	τελευταίος
last	τελευταια
last	τελευταία
system	συστημα
system	σύστημα
right	σωστα
right	δεξιά
right	σωστό
right	σωστά
song	τραγουδι
song	τραγούδι
song	σονγκ
non	non
notable	αξιοσημείωτα
notable	αξιοσημείωτο
notable	αξιοσημείωτη
section	ενότητα
section	τμήμα
section	τμημα
single	single
single	ενιαία
included	συμπεριλαμβάνεται
included	περιλαμβάνονται
included	συμπεριλαμβάνονται
included	περιλαμβάνεται
align	ευθυγράμμιση
home	πατρίδα
home	σπιτι
home	σπίτι
women	γυναίκες
women	γυναικες
television	τηλεόραση
television	tv
television	τηλεοραση
seed	σπόροι
seed	σπόρων
seed	σπόρο
seed	σπόρος
member	μέλος
member	βουλευτής
member	μελος
goals	στόχοι
goals	στόχους
goals	γκολ
sources	πηγές
sources	πηγες
book	βιβλιο
book	βιβλίο
station	σταθμός
station	σταθμό
order	τάξη
order	παραγγελία
order	σειρά
order	διαταγή
old	παλαιά
old	παλιό
old	παλαιό
old	παλιά
old	γέρος
information	πληροφορίες
information	πληροφορία
information	πληροφόρηση
set	σετ
text	κείμενο
band	ορχήστρα
band	συγκρότημα
band	μπάντα
point	πόντος
point	σημειο
point	σημείο
local	τοπικός
local	τοπική
local	τοπικά
local	τοπικό
local	τοπικές
around	γύρω
around	γυρω
around	τριγύρω
river	ρίβερ
river	ποταμός
river	ποτάμι
top	κορυφαία
top	τοπ
top	top
top	κορυφή
main	κύρια
language	γλώσσα
language	γλωσσα
french	γάλλοι
french	γάλλος
french	γαλλική
french	γαλλικό
french	γαλλικά
https	https
named	ονόματι
off	off
note	νότα
note	σημείωμα
note	σημείωση
career	σταδιοδρομία
career	καριέρα
original	αυθεντικό
original	αρχική
original	πρωτότυπο
original	αρχικό
original	αρχικός
age	ηλικίας
age	ηλικία
age	ηλικια
service	υπηρεσία
service	service
service	εξυπηρέτηση
established	εγκατεστημένος
located	εντοπίστηκε
said	είπε
website	website
website	ιστοσελίδα
website	ιστότοπος
population	πληθυσμός
population	πληθυσμού
air	αερα
air	air
air	αέρα
air	αέρας
german	γερμανοί
german	γερμανός
german	γερμανικό
german	γερμανικά
german	γερμανική
law	νόμο
law	δίκαιο
law	νόμος
military	στρατιωτικός
military	στρατός
military	στρατιωτική
military	στρατιωτικοί
military	στρατιωτικά
great	τέλεια
great	υπέροχα
within	εντός
clubs	σύλλογοι
clubs	μπαστούνια
clubs	λέσχες
clubs	κλαμπ
published	δημοσιεύθηκε
published	δημοσιευθεί
published	δημοσιεύτηκε
published	δημοσίευση
published	δημοσιεύεται
published	εκδίδεται
president	πρόεδρος
president	πρόεδρε
president	πρόεδρο
park	παρκ
park	park
park	πάρκο
official	επίσημο
official	αξιωματούχος
official	επίσημη
case	περίπτωση
case	υποθεση
case	υπόθεση
london	λονδίνο
london	london
times	times
times	φορές
times	χρόνοι
although	μολονότι
small	μικρή
small	μικρό
small	μικρές
small	μικρός
small	μικρά
third	τρίτον
third	τρίτο
third	τρίτη
third	τρίτος
different	διαφορετικός
different	διαφορετικά
different	διαφορετικοί
different	διαφορετική
different	διαφορετικό
due	οφειλόμενη
village	χωριο
village	χωριό
closed	κλειστό
closed	κλειστο
closed	κλειστή
closed	κλειστά
art	τέχνη
art	art
art	αρτ
art	τεχνη
player	παίκτης
player	παίκτη
player	παίχτης
player	παίχτη
final	τελικός
final	τελικό
final	τελικο
final	τελική
community	κοινοτητα
community	κοινότητα
community	κοινότητας
again	πάλι
again	ξανά
again	παλι
army	στρατός
army	στρατό
award	βραβείο
without	χωρίς
death	θάνατος
death	θάνατο
built	κατασκευάστηκε
built	έχτισε
built	χτίστηκε
built	χτισμένο
men	ανδρες
men	άντρες
men	άνδρες
large	μεγάλα
large	μεγάλο
site	site
using	χρησιμοποιώντας
deletion	διαγραφή
white	άσπρο
white	λευκός
white	λευκό
white	λευκή
white	λευκά
five	five
five	πεντε
five	πέντε
central	κεντρικό
central	κεντρική
central	κεντρικός
central	central
road	οδός
road	δρόμος
road	δρόμο
road	road
children	παιδια
children	τέκνα
children	παιδιά
free	δωρεάν
free	free
free	ελεύθερος
free	ελεύθερη
took	πήρε
england	αγγλία
include	συμπεριλάβετε
include	συμπερίληψη
include	περιλαμβάνουν
association	σύνδεσης
association	ένωση
association	association
down	down
down	κάτω
down	κατω
given	δεδομένο
given	δεδομένου
source	πηγή
source	πηγη
california	καλιφόρνια
california	california
man	άνθρωπος
man	φίλε
man	φιλε
version	έκδοση
version	εκδοχή
written	γραπτές
written	γραπτή
written	γράφτηκε
written	γραμμένα
written	γράψει
written	γραμμένο
created	δημιουργήθηκε
created	δημιούργησε
created	δημιουργήθηκαν
created	δημιουργείται
media	media
media	μμε
black	μαύρη
black	μαύρα
black	μαύρος
black	μαυρο
black	μαύρο
php	php
php	πυ
report	έκθεση
report	εκθεση
report	αναφορα
report	αναφορά
building	κτίριο
building	κτήριο
take	πάρτε
take	λήψη
take	πάρε
division	μεραρχία
division	διαίρεση
comment	comment
comment	σχόλιο
having	έχοντας
king	βασιλεύς
king	βασιλιάς
king	κινγκ
king	βασιλιά
king	king
edit	επεξεργασία
stadium	στάδιο
stadium	γήπεδο
died	πέθανε
died	πεθανε
ship	σκάφος
ship	καράβι
ship	πλοίο
research	έρευνα
research	ερευνα
research	έρευνες
record	ρεκόρ
archive	αρχειοθέτηση
archive	αρχείο
places	τοποθεσίες
places	τόποι
places	μέρη
undo	αναίρεση
cup	κύπελλο
cup	κούπα
cup	φλιτζάνι
records	αρχεία
records	δίσκοι
often	συχνα
often	συχνά
few	λίγοι
few	ελάχιστοι
